Appling,18509
Atkinson,8269
Bacon,11163
Baker,2928
Baldwin,43876
Banks,18061
Barrow,82138
Bartow,107868
Ben Hill,17237
Berrien,18195
Bibb,156711
Bleckley,12562
Brantley,18072
Brooks,16254
Bryan,43278
Bulloch,79635
Burke,24231
Butts,24950
Calhoun,5668
Camden,54256
Candler,10885
Carroll,118402
Catoosa,67579
Charlton,12416
Chatham,294815
Chattahoochee,9533
Chattooga,24898
Cherokee,262155
Clarke,128195
Clay,2883
Clayton,294335
Clinch,6737
Cobb,762500
Coffee,43048
Colquitt,45800
Columbia,154274
Cook,17188
Coweta,144928
Crawford,12159
Crisp,20524
Dade,16313
Dawson,26202
Decatur,29020
DeKalb,758634
Dodge,20089
Dooly,11546
Dougherty,86825
Douglas,143520
Early,10813
Echols,3691
Effingham,63448
Elbert,19453
Emanuel,22739
Evans,10761
Fannin,25198
Fayette,117828
Floyd,98210
Forsyth,245754
Franklin,23256
Fulton,1054286
Gilmer,31047
Glascock,2903
Glynn,84373
Gordon,57274
Grady,26076
Greene,18461
Gwinnett,948505
Habersham,45767
Hall,201703
Hancock,8652
Haralson,29685
Harris,34316
Hart,25808
Heard,11440
Henry,236615
Houston,161177
Irwin,9615
Jackson,73839
Jasper,14478
Jeff Davis,14753
Jefferson,15708
Jenkins,8693
Johnson,9272
Jones,28297
Lamar,18482
Lanier,9874
Laurens,49202
Lee,32547
Liberty,64334
Lincoln,7686
Long,16398
Lowndes,117437
Lumpkin,33188
Macon,12330
Madison,29906
Marion,7563
McDuffie,21727
McIntosh,11291
Meriwether,20659
Miller,5984
Mitchell,21940
Monroe,27825
Montgomery,8701
Morgan,19694
Murray,39853
Muscogee,204366
Newton,111262
Oconee,41006
Oglethorpe,14779
Paulding,165688
Peach,27822
Pickens,32814
Pierce,19644
Pike,18754
Polk,42692
Pulaski,10001
Putnam,21870
Quitman,2249
Rabun,16731
Randolph,6503
Richmond,205772
Rockdale,92983
Schley,4622
Screven,14028
Seminole,9108
Spalding,66722
Stephens,26641
Stewart,5347
Sumter,29690
Talbot,5837
Taliaferro,1574
Tattnall,23211
Taylor,7857
Telfair,12860
Terrell,9102
Thomas,45669
Tift,41148
Toombs,26956
Towns,12300
Treutlen,6410
Troup,69483
Turner,8856
Twiggs,8034
Union,24183
Upson,27424
Walker,67772
Walton,95453
Ware,36084
Warren,5218
Washington,20052
Wayne,30118
Webster,2372
Wheeler,7568
White,27886
Whitfield,103076
Wilcox,8841
Wilkes,9643
Wilkinson,8931
Worth,20824
